X,Y,mw,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,n_radical_electrons,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings
C=CC[N@@+]12CC[C@@]34c5ccccc5N5/C=C6/[C@H]7C[C@H]8[C@@]9(CC[N@@+]8(CC=C)C/C7=C\CO)c7ccccc7N(/C=C(/[C@@H](C[C@@H]31)/C(=C/CO)C2)[C@@H]54)[C@H]69,3.6,666.3922796801814,0.45454545454545453,6,2,11,6,50,8,0,46.94,0.31722605105983087,5.475600000000007,9.667160124057538,2,7,9,2,0,2,2,4,6
C[C@@H]1[C@@H](OC(=O)CCC(=O)O)O[C@H]2O[C@@]3(C)CC[C@H]4[C@@H](C)CC[C@@H]1[C@@]24OO3,0.22,384.17841785600075,0.8947368421052632,8,1,5,8,27,7,0,100.52000000000002,0.5830734536469286,2.6024000000000003,9.073047092022046,1,4,5,0,0,0,1,4,5
CON=C(C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C)CS[C@@H]12)c1csc(N)n1,2.1,397.0514605800005,0.35714285714285715,10,4,3,12,26,8,0,147.20999999999998,0.3525234585330688,-0.16569999999999918,7.649734407946284,0,2,2,0,1,1,0,1,1
CO/N=C(/C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nc(C)c(CC(=O)O)s3)CSC12)c1csc(N)n1,4.2,584.0276309800005,0.35,13,5,4,17,37,13,0,197.39999999999998,0.13393623971973823,0.9987200000000007,4.359316410020239,0,2,2,0,2,2,0,1,1
CON=C(C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@@H]12)c1csc(N)n1,1.5,383.0358105160004,0.3076923076923077,10,4,3,12,25,7,0,147.20999999999998,0.34831831323821205,-0.5557999999999992,7.510635569183123,0,2,2,0,1,1,0,1,1
Nc1nc(/C(=N\O)C(=O)NC2C(=O)N3C(C(=O)O)=C(/C=C4/CCN(C5CCNC5)C4=O)CSC23)ns1,3.3,534.1103724240006,0.45,14,6,5,16,36,8,0,203.44,0.09394917710960603,-1.4421999999999964,7.515760667773923,0,4,4,0,1,1,0,3,3
CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]12)c1ccco1,1.1,424.06888447200043,0.3125,12,4,3,13,29,8,0,173.76,0.29500804859666163,-0.5359999999999987,7.824194110349227,0,2,2,0,1,1,0,1,1
CCN(CC)CCS(=O)(=O)[C@@H]1CCN2C(=O)c3coc(n3)CC(=O)C[C@H](O)/C=C(C)/C=C/CNC(=O)/C=C/[C@@H](C)[C@@H](C(C)C)OC(=O)[C@H]12,0.74,690.3298501800014,0.6176470588235294,13,2,3,14,48,14,0,176.42,0.4015975548403724,2.269300000000002,9.446847578377856,0,2,2,0,1,1,0,1,1
CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12,12.0,464.09864331200055,0.38095238095238093,10,7,4,11,32,9,0,181.61999999999998,0.3306344318904273,0.10830000000000034,7.842192009739568,3,0,3,1,0,1,1,0,1
CCC1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,5.7,326.1994280720007,0.55,4,1,5,4,24,7,0,45.59,0.9352397721690103,3.3972000000000024,8.808955541572058,0,3,3,1,1,2,0,3,3
CC[C@@](O)(C(=O)O)c1cc2n(c(=O)c1CO)Cc1c-2nc2cc(F)c(C)c3c2c1[C@@H](N)CC3,6.7,453.16999908800074,0.375,8,5,5,9,33,9,0,138.67000000000002,0.3706193411204491,1.9932200000000004,7.367922046109186,1,1,2,1,2,3,0,0,0
C[C@@](O)(/C=C/[C@H]1CC=CC(=O)O1)[C@@H](C[C@@H](O)/C=C/C=C/C=C/CO)OP(=O)(O)O,1.5,430.13926907400065,0.42105263157894735,9,5,1,10,29,17,0,153.75,0.1400493691443843,1.0550999999999997,8.5989472416411,0,1,1,0,0,0,0,0,0
C[C@@H]1C(=O)O[C@H]2C[C@]34[C@H]5C[C@@H](C(C)(C)C)C36[C@@H](OC(=O)[C@H]6O)O[C@@]4(C(=O)O5)[C@]21O,3.8,408.14203234800055,0.85,9,2,6,9,29,3,0,128.59,0.4084569903388224,-0.3402999999999995,8.827898773993129,2,4,6,0,0,0,2,4,6
C[C@@H]1C(=O)O[C@H]2[C@H](O)[C@]34[C@H]5C[C@@H](C(C)(C)C)C36[C@@H](OC(=O)[C@@H]6O)O[C@@]4(C(=O)O5)[C@@]12O,5.2,424.13694696800053,0.85,10,3,6,10,30,4,0,148.82,0.3140501117996527,-1.3694999999999982,8.863044761741367,2,4,6,0,0,0,2,4,6
Cc1cc(=O)c2c(O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(O)c7c(=O)cc(C)c8c1c2c(c34)c(c65)c78,42.0,504.0845174720004,0.06666666666666667,8,6,8,8,38,8,0,155.52,0.12334985710311229,5.081040000000003,6.597759742513866,0,0,0,8,0,8,0,0,0
CC#CCC(C)[C@H](O)/C=C/C1[C@H](O)C[C@@H]2CC(=CCCCC(=O)O)C[C@H]12,0.57,360.23005950400085,0.6818181818181818,4,3,2,4,26,11,0,77.76,0.3514175873049406,3.541300000000003,8.827445592126047,2,0,2,0,0,0,2,0,2
NCCCNc1ccc2c(CNCCO)nn3c4c(O)ccc(=O)c4c(O)c1c23,32.0,397.17500421600056,0.3,9,7,4,9,29,12,0,145.14,0.1881489069743619,0.6924999999999994,4.551541849313205,0,0,0,2,2,4,0,0,0
OC(CNC[C@H](O)[C@@H]1CCc2cc(F)ccc2O1)[C@H]1CCc2cc(F)ccc2O1,10.0,405.1751647200007,0.45454545454545453,5,3,4,7,29,8,0,70.95,0.68846240126238,2.363600000000001,8.203822580151494,0,2,2,2,0,2,0,0,0
CCOC(=O)[C@@]1(c2ccccc2)CCC=C[C@@H]1NC,4.4,259.1572289120001,0.4375,3,1,2,3,19,6,0,38.33,0.6664151779245063,2.4255000000000004,7.8623085460717315,1,0,1,1,0,1,0,0,0
CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,10.0,460.1481803480006,0.4090909090909091,11,8,4,11,33,11,0,201.84999999999997,0.25727353929162405,-1.4001999999999974,8.273780558191977,3,0,3,1,0,1,1,0,1
CC(=N)N1CC[C@@H](SC2=C(C(=O)O)N3C(=O)[C@H]([C@@H](C)O)[C@H]3C2)C1,0.96,339.1252771520006,0.6666666666666666,7,3,3,8,23,7,0,104.92999999999999,0.3955316351777659,0.6987700000000001,7.98469038732287,0,3,3,0,0,0,0,2,2
Cc1cc(=O)c2c(O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(O)c7c(=O)cc(CO)c8c1c2c(c34)c(c65)c78,20.0,520.0794320920004,0.06666666666666667,9,7,8,9,39,9,0,175.75,0.12309380910158212,4.2649200000000045,6.848780848377772,0,0,0,8,0,8,0,0,0
CN(C)[C@@H]1C(=O)C(C(=O)NCN2CCCC2)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,8.8,527.2267650160007,0.5185185185185185,11,6,5,11,38,12,0,170.86999999999998,0.2995990209192871,0.3132000000000033,8.659613576897662,3,1,4,1,0,1,1,1,2
CN1C2CC(OC(=O)[C@@H](CO)c3ccccc3)CC1[C@@H]1O[C@H]21,4.5,303.14705815200057,0.5882352941176471,5,1,4,5,22,6,0,62.3,0.6618093940597772,0.9180999999999995,8.721046337274583,0,3,3,1,0,1,0,3,3
CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(=O)C(C(N)=O)=C(O)[C@@]3(O)C(=O)C1=C2O,48.0,585.2798632080011,0.5172413793103449,13,8,4,13,42,14,0,205.75999999999996,0.17916991125161194,0.35660000000000386,8.757132506816824,3,0,3,1,0,1,1,0,1
CON=C(C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[N+]34CCC(C(N)=O)(CC3)CC4)CSC12)c1nsc(N)n1,2.2,551.1489490040908,0.5714285714285714,14,6,6,16,37,10,0,203.19,0.1300140805342672,-1.304599999999996,8.389055546626459,0,5,5,0,1,1,0,4,4
CON=C(C(=O)N[C@H]1C(=O)N2C(C(=O)O)=C(CN3C=CN4NC=CC=C34)CS[C@H]12)c1nsc(N)n1,1.7,517.0950567080007,0.2631578947368421,14,5,5,16,35,9,0,178.61,0.20071227954712295,-0.8284999999999978,6.425619598880248,0,4,4,0,1,1,0,1,1
Cn1c(=N)c(NC(=O)NCCN)cn1CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c3nsc(N)n3)[C@H]2SC1,2.58,666.1750979200008,0.43478260869565216,20,10,4,22,45,17,0,298.2599999999999,0.06811396777632255,-2.157329999999993,8.116521873373415,0,2,2,0,2,2,0,1,1
CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,2.1,424.1798708360009,0.9444444444444444,7,4,2,9,27,14,0,102.26,0.4382730169795818,0.38950000000000035,8.914649051447821,0,2,2,0,0,0,0,2,2
CCN(CC)CCS(=O)(=O)[C@@H]1CCN2C(=O)c3coc(n3)CC(=O)C[C@H](O)/C=C(C)/C=C\CNC(=O)/C=C/[C@@H](C)[C@H](C(C)C)OC(=O)[C@@H]12,0.74,690.3298501800014,0.6176470588235294,13,2,3,14,48,14,0,176.42,0.4015975548403724,2.269300000000002,9.446847578377856,0,2,2,0,1,1,0,1,1
CCOc1ccc(Cc2cc(C3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,12.2,408.13396620000066,0.42857142857142855,6,4,3,7,28,11,0,99.38000000000001,0.5818339767551266,1.8443999999999996,8.423758037178187,0,1,1,2,0,2,0,1,1
C[C@@H]1C(S[C@H]2CN[C@H](CNS(N)(=O)=O)C2)=C(C(=O)O)N2C(=O)[C@@H]([C@H](C)O)C12,1.2,420.1137264880006,0.7333333333333333,10,6,3,12,27,11,0,162.05999999999997,0.30750790687326207,-1.6030999999999969,8.319046535112362,0,3,3,0,0,0,0,2,2
